Bairros
Alto Branco
Alto da Serra
Araxá
Bairro das Nações
Conceição
Cuités
Distrito de Jenipapo (dividido entre Campina Grande Lagoa Seca e Puxinanã)
Jardim Continental
Jardim Menezes
Jardim Tavares
Jeremias
Juracy Palhano (saída para Lagoa Seca)
Lauritzen
Louzeiro
Monte Santo
Novo Bodocongó
Palmeira
Belo Monte
Castelo Branco
Distrito de Santa Terezinha
Glória
Jardim América
Jardim Atalaia
Jardim Europa
José Pinheiro
Mirante
Monte Castelo
Nova Brasília
Santa Terezinha
Santo Antônio
Vila Cabral
Acácio Figueiredo (ou Catingueira)
Bairro das Cidades
Catolé
Catolé de Zé Ferreira
Conjunto Cinza
Conjunto Irmãos Alexandrino
Conjunto Pedro Gondim
Conjunto Ronaldo Cunha Lima
Colinas do Sol
Cruzeiro
Distrito Industrial
Distrito dos Mecânicos
Estação Velha
Itararé
Jardim Borborema
Jardim Paulistano
Jardim Vitória
Liberdade
Ligeiro (entre Campina Grande e Queimadas)
Novo Cruzeiro
Novo Horizonte
Palmeira Imperial
Portal de Campina
Portal Sudoeste
Presidente Médici
Quarenta
Ressurreição)
Rocha Cavalcante
Rosa Cruz
Sandra Cavalcante
São José
Serra da Borborema
Tambor
Três Irmãs
Velame
Bela Vista
Bodocongó
Centenário
Conjunto Chico Mendes
Conjunto Mariz
Conjunto Severino Cabral
Dinamérica
Jardim Verdejante
Loteamento Alameda
Loteamento Grande Campina
Loteamento João Paulo II
Loteamento Parque dos Bosques
Malvinas
Mutirão do Serrotão
Novo Bodocongó
Pedregal
Prata
Ramadinha
Santa Cruz
Santa Rosa
São Januário
Serrotão
Sítio Lucas
Sítio Estreito
Universitário
